latitude,longitude,latitude_CBD,longitude_CBD,distance_to_CBD,rents per bedroom/week
51.58973,-0.08509,51.515243,-0.141953,10420.16476,$35.00 
51.548,-0.23357,51.515243,-0.141953,10818.9234,$35.00 
51.41447,-0.19591,51.515243,-0.141953,12710.53494,$35.00 
51.40458,-0.09256,51.515243,-0.141953,13475.22613,$35.00 
51.50529,-0.05734,51.515243,-0.141953,9473.410333,$35.00 
51.51876,-0.20705,51.515243,-0.141953,7249.017107,$36.00 
51.42675,-0.16785,51.515243,-0.141953,10252.63602,$36.00 
51.52746,-0.14522,51.515243,-0.141953,1406.198757,$37.00 
51.47188,-0.18469,51.515243,-0.141953,6769.923059,$37.50 
51.41562,-0.19489,51.515243,-0.141953,12544.32999,$37.50 
51.62894,-0.1085,51.515243,-0.141953,13178.39671,$37.50 
51.46964,-0.05334,51.515243,-0.141953,11081.5706,$37.50 
51.52246,-0.16565,51.515243,-0.141953,2754.478639,$37.50 
51.42239,-0.09271,51.515243,-0.141953,11686.86925,$38.00 
51.58093,-0.03602,51.515243,-0.141953,13859.99165,$38.00 
51.49399,-0.01899,51.515243,-0.141953,13875.59822,$38.00 
51.55269,-0.04329,51.515243,-0.141953,11734.45206,$38.00 
51.55183,-0.23685,51.515243,-0.141953,11309.15232,$38.00 
51.53752,-0.04708,51.515243,-0.141953,10836.32211,$38.00 
51.46146,-0.02147,51.515243,-0.141953,14671.32082,$39.00 
51.54954,-0.19428,51.515243,-0.141953,6956.92063,$39.00 
51.51892,-0.15187,51.515243,-0.141953,1176.078958,$40.00 
51.51911,-0.15086,51.515243,-0.141953,1079.727088,$40.00 
51.54046,-0.09883,51.515243,-0.141953,5554.730802,$40.00 
51.52984,-0.08155,51.515243,-0.141953,6909.849249,$40.00 
51.59583,-0.14223,51.515243,-0.141953,8960.896506,$40.00 
51.58937,-0.12274,51.515243,-0.141953,8514.89891,$40.00 
51.42259,-0.16387,51.515243,-0.141953,10586.8283,$40.00 
51.57774,-0.07622,51.515243,-0.141953,10085.51208,$40.00 
51.41138,-0.17918,51.515243,-0.141953,12268.42509,$40.00 
51.41642,-0.07645,51.515243,-0.141953,13183.34319,$40.00 
51.43867,-0.03896,51.515243,-0.141953,14270.68963,$40.00 
51.59801,-0.03658,51.515243,-0.141953,14899.23439,$40.00 
51.40206,-0.21492,51.515243,-0.141953,14973.9636,$40.00 
51.53402,-0.03535,51.515243,-0.141953,12036.19719,$40.00 
51.51473,-0.02967,51.515243,-0.141953,12485.4381,$40.00 
51.59008,-0.22657,51.515243,-0.141953,12560.86443,$40.00 
51.40828,-0.12034,51.515243,-0.141953,12134.09746,$40.00 
51.52598,-0.04665,51.515243,-0.141953,10664.25809,$40.00 
51.60137,-0.15658,51.515243,-0.141953,9713.984872,$40.00 
51.48741,-0.22006,51.515243,-0.141953,9220.048737,$40.00 
51.53254,-0.07104,51.515243,-0.141953,8116.350707,$40.00 
51.54663,-0.1942,51.515243,-0.141953,6777.315842,$40.00 
51.52528,-0.18766,51.515243,-0.141953,5203.486426,$40.00 
51.49157,-0.256,51.515243,-0.141953,12951.76768,$42.00 
51.55143,-0.04323,51.515243,-0.141953,11691.73429,$42.00 
51.50093,-0.09116,51.515243,-0.141953,5867.883652,$42.00 
51.44424,-0.0324,51.515243,-0.141953,14516.499,$42.50 
51.52882,-0.01728,51.515243,-0.141953,13944.97503,$42.50 
51.54771,-0.18285,51.515243,-0.141953,5806.316908,$42.50 
51.52126,-0.05696,51.515243,-0.141953,9474.449461,$43.00 
51.5133,-0.03577,51.515243,-0.141953,11808.99487,$43.00 
51.52811,-0.11515,51.515243,-0.141953,3305.989805,$43.00 
51.53417,-0.06552,51.515243,-0.141953,8755.668247,$43.33 
51.53205,-0.04062,51.515243,-0.141953,11421.65429,$43.67 
51.52231,-0.09144,51.515243,-0.141953,5671.495895,$44.00 
51.53747,-0.05977,51.515243,-0.141953,9466.661944,$44.50 
51.54368,-0.17332,51.515243,-0.141953,4707.823679,$45.00 
51.49416,-0.06148,51.515243,-0.141953,9250.191461,$45.00 
51.46316,-0.22124,51.515243,-0.141953,10548.31325,$45.00 
51.52019,-0.04864,51.515243,-0.141953,10390.50979,$45.00 
51.47974,-0.01599,51.515243,-0.141953,14552.16709,$45.00 
51.50993,-0.27185,51.515243,-0.141953,14455.97305,$45.00 
51.53979,-0.2116,51.515243,-0.141953,8211.320679,$45.00 
51.52777,-0.07296,51.515243,-0.141953,7797.108218,$45.00 
51.47443,-0.11599,51.515243,-0.141953,5378.633714,$45.00 
51.48249,-0.19929,51.515243,-0.141953,7342.472273,$46.00 
51.48864,-0.11714,51.515243,-0.141953,4045.116895,$46.67 
51.49184,-0.03978,51.515243,-0.141953,11655.34797,$47.00 
51.56285,-0.19551,51.515243,-0.141953,7967.920546,$47.50 
51.4676,-0.25994,51.515243,-0.141953,14148.76739,$48.00 
51.50088,-0.24514,51.515243,-0.141953,11584.49569,$48.75 
51.42276,-0.0539,51.515243,-0.141953,14199.22598,$49.00 
51.46272,-0.11667,51.515243,-0.141953,6481.709027,$49.00 
51.58462,-0.14677,51.515243,-0.141953,7732.922528,$49.50 
51.49262,-0.13123,51.515243,-0.141953,2783.831023,$50.00 
51.48366,-0.11658,51.515243,-0.141953,4504.798591,$50.00 
51.51074,-0.19853,51.515243,-0.141953,6310.973578,$50.00 
51.58751,-0.09781,51.515243,-0.141953,9416.258937,$50.00 
51.51428,-0.26447,51.515243,-0.141953,13623.6982,$50.00 
51.54363,-0.02565,51.515243,-0.141953,13311.9543,$50.00 
51.40934,-0.18315,51.515243,-0.141953,12635.4528,$50.00 
51.49605,-0.04194,51.515243,-0.141953,11323.87221,$50.00 
51.46187,-0.05979,51.515243,-0.141953,10894.51816,$50.00 
51.53278,-0.05621,51.515243,-0.141953,9731.568654,$50.00 
51.49013,-0.08014,51.515243,-0.141953,7418.888586,$50.00 
51.54093,-0.05371,51.515243,-0.141953,10219.44839,$50.50 
51.49697,-0.11622,51.515243,-0.141953,3509.410703,$51.00 
51.51103,-0.27614,51.515243,-0.141953,14928.27508,$51.00 
51.54745,-0.07419,51.515243,-0.141953,8342.673351,$52.00 
51.4803,-0.21145,51.515243,-0.141953,8649.533952,$52.33 
51.48258,-0.20021,51.515243,-0.141953,7426.574374,$53.00 
51.47386,-0.16355,51.515243,-0.141953,5190.519005,$54.00 
51.48794,-0.21467,51.515243,-0.141953,8636.928057,$54.00 
51.55854,-0.09841,51.515243,-0.141953,6827.968146,$54.00 
51.52407,-0.11584,51.515243,-0.141953,3065.039965,$54.50 
51.51749,-0.01934,51.515243,-0.141953,13636.24133,$55.00 
51.58931,-0.25055,51.515243,-0.141953,14616.59138,$55.00 
51.41482,-0.22092,51.515243,-0.141953,14205.31468,$55.00 
51.50888,-0.27566,51.515243,-0.141953,14884.37494,$55.00 
51.47598,-0.01958,51.515243,-0.141953,14290.49704,$55.00 
51.50397,-0.26834,51.515243,-0.141953,14109.39263,$55.00 
51.61312,-0.20904,51.515243,-0.141953,13194.51522,$55.00 
51.54635,-0.07585,51.515243,-0.141953,8123.515866,$55.00 
51.47044,-0.10298,51.515243,-0.141953,6602.957994,$56.00 
51.48998,-0.18148,51.515243,-0.141953,5216.214641,$56.00 
51.49402,-0.22724,51.515243,-0.141953,9772.693494,$57.00 
51.50178,-0.21627,51.515243,-0.141953,8398.17926,$57.50 
51.42035,-0.19239,51.515243,-0.141953,11949.43819,$57.50 
51.54752,-0.07102,51.515243,-0.141953,8665.574978,$57.50 
51.52106,-0.14159,51.515243,-0.141953,648.0775161,$58.00 
51.44762,-0.05716,51.515243,-0.141953,12059.77196,$58.00 
51.52115,-0.06692,51.515243,-0.141953,8369.108742,$58.00 
51.52944,-0.02079,51.515243,-0.141953,13564.89057,$59.50 
51.56598,-0.04939,51.515243,-0.141953,11737.34176,$59.50 
51.52773,-0.13097,51.515243,-0.141953,1849.151873,$60.00 
51.49847,-0.11111,51.515243,-0.141953,3903.915421,$60.00 
51.5573,-0.14269,51.515243,-0.141953,4677.231456,$60.00 
51.47634,-0.15068,51.515243,-0.141953,4433.311837,$60.00 
51.49404,-0.22738,51.515243,-0.141953,9787.264874,$60.00 
51.59056,-0.09624,51.515243,-0.141953,9796.722729,$60.00 
51.50743,-0.22568,51.515243,-0.141953,9350.469535,$60.00 
51.49836,-0.02547,51.515243,-0.141953,13087.66758,$60.00 
