weekly_rents_per_bedroom,latitude,longitude,distance_to_CBD,bedrooms
45,51.41885,-0.16645,11059.08733,1
67.5,51.43021,-0.12722,9596.093876,2
29.5,51.55763,-0.30246,18459.40924,2
53,51.58548,-0.07469,10813.69994,2
57,51.55964,-0.40993,30203.85766,1
66.67,51.5835,-0.11739,8066.305668,3
55,51.51749,-0.01934,13636.24133,1
33.33,51.45559,-0.02008,15087.93926,3
368,51.45361,-0.08876,9052.743004,1
40,51.48043,0.03946,20540.28363,1
32,51.47689,0.03238,19848.52397,1
140,51.5244,-0.10233,4522.004683,1
40,51.55539,-0.00191,16199.33018,5
70,51.49748,-0.09651,5425.346798,1
152,51.41715,-0.2457,15876.17679,1
107,51.41761,-0.24613,15875.93318,1
41,51.54259,0.15386,33033.18402,1
67,51.49521,-0.10013,5156.479216,2
70,51.51683,-0.16577,2654.203922,1
26,51.52344,-0.46178,35574.83965,1
179,51.52197,-0.14035,768.9507176,1
72.5,51.55215,-0.03855,12208.33279,2
140,51.50584,-0.02814,12698.55397,1
180,51.56207,-0.10059,6947.381992,1
50,51.58751,-0.09781,9416.258937,1
38,51.56099,-0.0774,8797.677568,5
83.33,51.49494,-0.11211,4013.530803,3
34,51.49883,0.10547,27572.66581,1
35,51.46721,-0.10136,6992.877769,1
125,51.41755,-0.15309,10933.29397,4
100,51.54321,0.00626,16771.37822,1
60,51.52773,-0.13097,1849.151873,1
135,51.52704,-0.08129,6871.786455,1
89,51.5329,-0.2331,10323.50785,1
26,51.60139,-0.08639,11398.72687,1
32.33,51.55701,-0.08336,8001.110316,3
32,51.52661,0.03109,19282.98492,1
70,51.47776,-0.14939,4249.154543,2
29,51.44085,-0.13348,8325.58763,1
50,51.48366,-0.11658,4504.798591,1
93,51.54462,-0.14696,3313.671529,1
29,51.61455,-0.02989,16649.56866,1
140,51.51233,-0.16783,2895.566868,1
200,51.49273,-0.19404,6309.652199,1
75,51.53918,-0.14702,2720.645691,1
69,51.49709,-0.2032,7103.195446,1
64.5,51.5474,-0.20634,8002.753418,2
43,51.46811,-0.17134,6176.1745,1
99,51.53967,-0.09674,5714.267481,1
75,51.5506,-0.07698,8225.127727,1
29,51.55317,0.02328,18850.88135,1
65,51.57949,-0.22357,11549.80927,1
35,51.5327,0.01228,17259.44261,1
45,51.54368,-0.17332,4707.823679,1
253.67,51.54999,-0.18455,6112.535601,3
120,51.56931,-0.02936,13888.43906,1
46.67,51.48864,-0.11714,4045.116895,3
60,51.47634,-0.15068,4433.311837,1
32.5,51.51739,-0.21402,8017.045145,2
30,51.50451,-0.29203,16730.43192,1
138,51.46958,-0.13004,5247.435967,1
100,51.56394,-0.01025,15613.72485,1
40,51.48406,-0.26182,13772.23398,1
45,51.45573,-0.05166,12024.81228,1
85,51.55235,-0.12384,4591.429488,1
38,51.50144,-0.25678,12860.10343,1
46,51.57291,0.14562,32613.26532,1
36,51.45735,-0.01614,15399.80857,1
60,51.52249,-0.10525,4159.984552,1
20,51.52493,0.03679,19904.49387,1
100,51.53258,-0.01141,14643.18055,2
100,51.53185,-0.08152,6968.954574,1
57,51.55163,-0.0745,8522.150753,1
20,51.54829,0.1611,33897.73884,1
47.5,51.56285,-0.19551,7967.920546,2
35,51.59635,-0.19098,10538.28197,1
60,51.50743,-0.22568,9350.469535,1
45,51.49416,-0.06148,9250.191461,1
70,51.57034,-0.11096,7029.277757,1
20,51.40208,-0.0987,13470.96454,1
50,51.53169,-0.3761,26100.12335,1
60,51.45644,-0.03757,13321.88546,1
50,51.52864,0.00945,16901.0352,1
25,51.41868,-0.12462,10908.90455,1
175,51.54439,0.05872,22547.97641,1
62.5,51.50137,-0.06898,8259.564471,2
117.5,51.534,-0.23784,10864.23243,2
150,51.53338,-0.00996,14814.87239,2
80,51.53771,-0.08668,6634.409616,1
99,51.48311,-0.18428,5909.147281,1
37.5,51.49605,-0.06932,8353.640871,2
135,51.50062,0.03117,19318.96031,1
381,51.55025,-0.18445,6122.26398,1
53.33,51.44166,-0.1377,8195.693292,3
30,51.44553,-0.13773,7765.924161,1
100,51.54403,0.00917,17106.27688,1
49,51.54267,-0.14519,3070.902371,1
83.33,51.544,-0.14509,3216.593757,3
135,51.52804,-0.06444,8735.729851,1
45,51.61154,-0.01863,17398.2592,1
50,51.61654,-0.14936,11293.7535,1
45,51.52832,-0.10085,4796.184505,1
80,51.56956,-0.10778,7135.669766,3
39,51.53555,-0.11739,3543.813473,1
32,51.45511,-0.10869,7641.282492,1
70,51.54482,-0.11008,4834.980203,1
100,51.59164,-0.22492,12540.87061,2
29,51.46264,-0.01505,15275.23303,1
45,51.52077,0.02479,18551.1701,1
62.5,51.54071,-0.22338,9486.774033,4
42,51.53023,-0.21417,8201.263924,1
49.5,51.55324,-0.22808,10467.46563,2
27.5,51.53197,-0.08922,6151.567236,2
97.5,51.52907,-0.0409,11341.28712,2
25,51.59737,-0.09714,10403.14009,1
61,51.51551,-0.2146,8078.037465,1
68,51.53238,-0.06578,8681.760617,1
49.5,51.52795,-0.08272,6736.265756,2
75,51.46299,-0.22336,10756.31806,1
45,51.46316,-0.22124,10548.31325,1
55,51.49907,-0.08119,6991.776186,2
100,51.50403,-0.14913,1480.35518,1
25,51.39335,0.11933,32059.39865,1
45,51.60081,-0.11489,9979.147251,1
120,51.54314,-0.08991,6565.887569,1
87,51.42741,0.008,19323.80226,1
86,51.42694,0.00703,19257.4049,1
58,51.5491,-0.18469,6062.66254,1
95,51.48622,-0.11933,4091.811195,1
67,51.55586,-0.09366,7016.703959,1
117,51.49368,-0.13027,2727.006121,1
37.5,51.58467,0.02784,20397.46965,2
75,51.56598,-0.08578,8416.839375,2
45,51.47219,-0.18464,6741.500116,1
32.5,51.48734,-0.21673,8874.841799,2
42.5,51.53962,-0.14268,2711.797195,2
27,51.44036,-0.13369,8377.131956,1
100,51.52919,-0.03785,11679.15584,1
40,51.42259,-0.16387,10586.8283,2
50.5,51.54093,-0.05371,10219.44839,2
53,51.50046,-0.11482,3435.792063,1
70,51.50195,-0.24959,12059.62117,1
80,51.40296,-0.25044,17360.90453,1
30,51.59895,-0.00705,17653.64806,1
100,51.49819,-0.13836,1937.834869,1
36,51.42675,-0.16785,10252.63602,1
60,51.42525,-0.16636,10368.22444,2
